time,open,high,low,close,Volume,Volume MA,Total revenue,COGS,Gross profit,Operating expenses (excl. COGS),Operating income,"Non-operating income, total",Pretax income,Equity in earnings,Taxes,Non-controlling/minority interest,After tax other income/expense,Net income before discontinued operations,Discontinued operations,Net income,Basic EPS,Average basic shares outstanding,EBITDA,EBIT,Total operating expenses,Total current assets,Cash & equivalents,"Total receivables, net",Inventories - raw materials,Inventories - work in progress,Inventories - finished goods,Inventories - progress payments & other,Prepaid expenses,"Other current assets, total",Long term investments,Note receivable - long term,Investments in unconsolidated subsidiaries,Other investments,Property/plant/equipment - Buildings,Property/plant/equipment - Construction in progress,Property/plant/equipment - Machinery & equipment,Property/plant/equipment - Land & improvement,Property/plant/equipment - Leased property,Property/plant/equipment - Leases,Property/plant/equipment - Computer software and equipment,Property/plant/equipment - Transportation equipment,Property/plant/equipment - Other,"Accumulated depreciation, total",Deferred tax assets,Net intangible assets,"Goodwill, net","Other intangibles, net",Deferred charges,"Other long term assets, total",Total current liabilities,Short term debt,Accounts payable,Total non-current liabilities,Long term debt,Total equity,Shareholders&#039; equity,Total liabilities & shareholders&#039; equities,Total debt,Net debt,Book value per share,Tangible book value per share,Cash from operating activities,Funds from operations,Net income (cash flow),Changes in working capital,Change in accounts receivable,Change in inventories,Cash from investing activities,"Purchase/sale of business, net",Sale of fixed assets & businesses,Purchase/acquisition of business,"Purchase/sale of investments, net",Capital expenditures - fixed assets,Capital expenditures - other assets,Cash from financing activities,Sale of common & preferred stock,Repurchase of common & preferred stock,"Issuance/retirement of debt, net",Issuance of long term debt,Reduction of long term debt,Issuance/retirement of short term debt,Issuance/retirement of other debt,Total cash dividends paid,Common dividends paid,Preferred dividends paid,Free cash flow,Total non-current assets,Dividends per share - common stock primary issue,Number of employees,Mkt сap
2013-01-01T07:00:00Z,345.43429,419.3133,280.540565,344.435925,475980505,NaN,1351300000000,-1107800000000,243500000000,-166400000000,77100000000,19400000000,96500000000,1400000000,-27200000000,-3400000000,0,67300000000,400000000,67700000000,28.85,2345834041.36,151300000000,77100000000,1274200000000,542300000000,132000000000,227900000000,76600000000,8300000000,53300000000,0,9100000000,35100000000,20200000000,2500000000,13800000000,3900000000,161700000000,25200000000,223500000000,NaN,NaN,NaN,NaN,533100000000,207400000000,-339300000000,6800000000,131100000000,20500000000,110600000000,0,0,397100000000,49100000000,215400000000,484800000000,391900000000,630100000000,616600000000,1512000000000,441000000000,309000000000,262.38,206.59321411,174500000000,151700000000,132900000000,22800000000,-3000000000,-13700000000,-116100000000,13700000000,17500000000,-3800000000,-2400000000,-122200000000,-1600000000,-63400000000,100000000,0,-47700000000,45500000000,0,-93200000000,NaN,-15800000000,-15800000000,0,52300000000,969700000000,7.98692477,21400,NaN
2014-01-02T07:00:00Z,354.419575,509.16615,339.4441,489.19885,368634780,NaN,1447100000000,-1152900000000,294200000000,-193900000000,100300000000,14200000000,114500000000,-500000000,-30900000000,-3300000000,0,79800000000,-7400000000,72400000000,30.85,2349840589.68,175300000000,100300000000,1346800000000,551800000000,134800000000,243800000000,77300000000,6100000000,36300000000,0,10700000000,42800000000,19000000000,2600000000,14500000000,1900000000,161700000000,8200000000,243000000000,NaN,NaN,NaN,NaN,598500000000,215900000000,-378400000000,7000000000,129000000000,20500000000,108500000000,0,0,417900000000,58800000000,216000000000,451900000000,344200000000,685900000000,670900000000,1555700000000,403000000000,268200000000,285.486,230.59292014,143800000000,162100000000,147200000000,-18300000000,-30600000000,-3900000000,-83800000000,41200000000,41400000000,-200000000,-1800000000,-120200000000,-1800000000,-58500000000,0,0,-38500000000,0,-48000000000,9500000000,NaN,-20000000000,-20000000000,0,23600000000,1003900000000,11.98038715,18900,NaN
2015-01-02T07:00:00Z,489.19885,758.7574,464.239725,688.87185,569319092,NaN,1566400000000,-1241900000000,324500000000,-198500000000,126000000000,8200000000,134200000000,0,-36100000000,-4200000000,0,93900000000,-5100000000,88800000000,37.14,2387902798.7200003,204400000000,126000000000,1440400000000,514700000000,137000000000,250900000000,79400000000,6200000000,32300000000,0,8900000000,0,23200000000,NaN,14000000000,9200000000,164900000000,19400000000,278400000000,NaN,NaN,NaN,NaN,638000000000,215900000000,-430400000000,8500000000,159800000000,51900000000,107900000000,0,0,368600000000,33100000000,210100000000,430800000000,313400000000,793000000000,776100000000,1592400000000,346500000000,209500000000,319.807,253.95807701,178700000000,198900000000,163100000000,-20200000000,-1300000000,100000000,-87400000000,49500000000,63700000000,-14200000000,-500000000,-136400000000,-1000000000,-90600000000,0,0,-60200000000,0,-900000000,-59300000000,NaN,-30400000000,-30400000000,0,42300000000,1077700000000,14.97548393,18400,2421103513306.2505
2016-01-04T07:00:00Z,676.89147,838.6266,500.180865,748,448674314,NaN,1604700000000,-1244200000000,360500000000,-195100000000,165400000000,1200000000,166600000000,2400000000,-48700000000,-4600000000,0,115700000000,-1000000000,114700000000,47.02,2436983015.64,245400000000,165400000000,1439300000000,661100000000,260200000000,256100000000,85900000000,7800000000,34900000000,0,16200000000,0,20300000000,200000000,12400000000,7700000000,176100000000,70700000000,309500000000,NaN,NaN,NaN,NaN,687300000000,227500000000,-476900000000,10500000000,207800000000,91100000000,116700000000,0,0,441200000000,46800000000,246900000000,566500000000,420500000000,886200000000,866700000000,1893900000000,467300000000,207100000000,354.488,269.49621325,269100000000,227500000000,197800000000,41600000000,-3200000000,-7300000000,-228500000000,-44800000000,12500000000,-57300000000,400000000,-184300000000,-2300000000,78900000000,0,0,117400000000,214300000000,0,-96900000000,NaN,-36300000000,-36300000000,0,84800000000,1232800000000,17.97058072,18995,2145808643129.1973
2017-01-03T07:00:00Z,735,977,735,795,725454395,NaN,1978300000000,-1559400000000,418900000000,-206700000000,212200000000,-17200000000,195000000000,1500000000,-51000000000,-5000000000,0,140500000000,-6200000000,134300000000,52.2,2574000000,298400000000,212200000000,1766100000000,758700000000,200900000000,351500000000,93600000000,6500000000,72600000000,0,23300000000,10300000000,15300000000,800000000,6700000000,7800000000,233100000000,138300000000,622800000000,NaN,NaN,NaN,NaN,705500000000,232600000000,-558800000000,13000000000,533300000000,125100000000,408200000000,0,4000000000,528300000000,48100000000,332500000000,1034700000000,735700000000,1134800000000,1103500000000,2697800000000,783800000000,582900000000,414.507,214.18380856,208300000000,246000000000,246500000000,-37700000000,-32800000000,-4100000000,-608000000000,-355000000000,23100000000,-378100000000,400000000,-248400000000,-4400000000,342900000000,143200000000,0,247600000000,288600000000,0,-41000000000,NaN,-44200000000,-44200000000,0,-40100000000,1939100000000,21,19729,2277905245802.826
2018-01-02T07:00:00Z,799,991,690,811,967637506,NaN,2281300000000,-1840500000000,440800000000,-205100000000,235700000000,-21800000000,213900000000,2300000000,-52000000000,-5100000000,0,159100000000,-5100000000,154000000000,57.66,2671000000,340000000000,235700000000,2045600000000,852400000000,215100000000,391600000000,126800000000,10000000000,77700000000,0,23000000000,8200000000,10400000000,1200000000,7500000000,1700000000,248000000000,38500000000,788600000000,NaN,NaN,NaN,NaN,765500000000,224100000000,-623100000000,6800000000,539200000000,128300000000,410900000000,0,0,585100000000,100700000000,364500000000,1017600000000,696000000000,1247700000000,1215500000000,2850400000000,796700000000,581600000000,453.905,252.55105884,231700000000,299800000000,283600000000,-68100000000,-34300000000,-38900000000,-167200000000,14100000000,17000000000,-2900000000,8300000000,-183300000000,-5800000000,-50300000000,0,0,12700000000,34200000000,0,-21500000000,20100000000,-63000000000,-63000000000,0,48400000000,1998000000000,23,20163,2220434148168.664
2019-01-02T07:00:00Z,801,900,375,420,1842914617,NaN,2560200000000,-2099600000000,460600000000,-236700000000,223900000000,-56300000000,167600000000,3000000000,-53300000000,-5700000000,0,111600000000,-10800000000,100800000000,37.39,2696000000,342500000000,223900000000,2336300000000,824100000000,178500000000,374000000000,NaN,NaN,NaN,0,27200000000,6800000000,9100000000,300000000,7500000000,1300000000,257000000000,16500000000,826800000000,NaN,NaN,NaN,NaN,806400000000,220900000000,-685200000000,4600000000,524200000000,124600000000,399600000000,NaN,6000000000,654800000000,129800400000,411500000000,851400000000,501800000000,1304200000000,1282500000000,2810400000000,631600400000,453100400000,474.273,280.42215807,312500000000,296700000000,238300000000,15800000000,3700000000,-31500000000,-122400000000,16200000000,24400000000,-8200000000,2500000000,-138700000000,-1400000000,-226600000000,0,0,-161000000000,87000000000,0,-248000000000,NaN,-65600000000,-65600000000,0,173800000000,1986300000000,23,19579,586842498555.6947
2020-01-02T07:00:00Z,425,440,115,316,1132040089,NaN,2159100000000,-1845900000000,313200000000,-176700000000,136500000000,-370300000000,-233800000000,2100000000,39500000000,-4500000000,0,-196700000000,-22300000000,-219000000000,-83.27,2630000000,264900000000,136500000000,2022600000000,669000000000,100100000000,320400000000,NaN,NaN,NaN,NaN,22300000000,0,8500000000,NaN,7700000000,800000000,269600000000,40300000000,872800000000,NaN,NaN,NaN,NaN,838400000000,1043800000000,-788800000000,4900000000,268700000000,64100000000,204600000000,NaN,3500000000,617200000000,241500000000,286000000000,841900000000,567200000000,977000000000,956600000000,2436100000000,808700000000,708600000000,372.053,267.54697876,114800000000,188900000000,-168400000000,-74100000000,64900000000,17000000000,-193900000000,10900000000,13900000000,-3000000000,300000000,-205100000000,-1400000000,-1800000000,0,-54400000000,130100000000,165100000000,0,-35000000000,NaN,-61900000000,-61900000000,0,-90300000000,1767100000000,0,NaN,599867953088.785
2021-01-04T07:00:00Z,320,504,306,436,983508254,NaN,2395600000000,-1964300000000,431300000000,-230000000000,201300000000,-34500000000,166800000000,2800000000,-50600000000,-6700000000,0,112300000000,-13200000000,99100000000,38.79,2555000000,333000000000,201300000000,2194300000000,773300000000,75100000000,392800000000,157400000000,11600000000,90300000000,0,30200000000,15900000000,7900000000,NaN,7800000000,100000000,293800000000,75800000000,889100000000,NaN,NaN,NaN,NaN,NaN,995300000000,-801800000000,3300000000,266900000000,64100000000,202800000000,0,0,661100000000,165700000000,359000000000,833400000000,567100000000,1044900000000,1025000000000,2539400000000,732800000000,657700000000,404.946,299.5020381,261700000000,266000000000,213400000000,-4300000000,-86500000000,-30500000000,-182900000000,8100000000,10300000000,-2200000000,2600000000,-197400000000,-600000000,-98600000000,0,-15800000000,-69200000000,119000000000,0,-188200000000,NaN,0,0,0,64300000000,1766100000000,15,NaN,1487381034375.3848
2022-01-03T07:00:00Z,430,562,368,444,824364397,455013920.95,2797900000000,-2257500000000,540400000000,-271300000000,269100000000,-36300000000,232800000000,1900000000,-57800000000,-2000000000,0,174900000000,-300000000,174600000000,70.2,2487000000,409500000000,269100000000,2528800000000,1005400000000,173000000000,455100000000,225800000000,12500000000,102800000000,0,36200000000,NaN,26300000000,NaN,18300000000,8000000000,314900000000,83900000000,990900000000,NaN,NaN,NaN,NaN,NaN,1066200000000,-893800000000,4800000000,304600000000,68300000000,236300000000,0,4700000000,798600000000,219300000000,446900000000,976900000000,705300000000,1175000000000,1153100000000,2950500000000,924600000000,751600000000,466.445,343.23037215,275800000000,322100000000,282700000000,-46300000000,-48800000000,-77600000000,-275600000000,-15000000000,26200000000,-41200000000,-9600000000,-249500000000,-1700000000,96300000000,0,-31000000000,176000000000,379200000000,-203200000000,0,NaN,-39400000000,-39400000000,0,26300000000,1945100000000,29,NaN,1173856981234.6155
2023-01-03T07:00:00Z,440,464,206,247,623498155,485026120.3,2962800000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.7,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,337193112868.44446
