time,open,high,low,close,Volume,Volume MA,Total revenue,COGS,Gross profit,Operating expenses (excl. COGS),Operating income,"Non-operating income, total",Pretax income,Equity in earnings,Taxes,Non-controlling/minority interest,After tax other income/expense,Net income before discontinued operations,Discontinued operations,Net income,Basic EPS,Average basic shares outstanding,EBITDA,EBIT,Total operating expenses,Total current assets,Cash & equivalents,"Total receivables, net",Inventories - raw materials,Inventories - work in progress,Inventories - finished goods,Inventories - progress payments & other,Prepaid expenses,"Other current assets, total",Long term investments,Note receivable - long term,Investments in unconsolidated subsidiaries,Other investments,Property/plant/equipment - Buildings,Property/plant/equipment - Construction in progress,Property/plant/equipment - Machinery & equipment,Property/plant/equipment - Land & improvement,Property/plant/equipment - Leased property,Property/plant/equipment - Leases,Property/plant/equipment - Computer software and equipment,Property/plant/equipment - Transportation equipment,Property/plant/equipment - Other,"Accumulated depreciation, total",Deferred tax assets,Net intangible assets,"Goodwill, net","Other intangibles, net",Deferred charges,"Other long term assets, total",Total current liabilities,Short term debt,Accounts payable,Total non-current liabilities,Long term debt,Total equity,Shareholders&#039; equity,Total liabilities & shareholders&#039; equities,Total debt,Net debt,Book value per share,Tangible book value per share,Cash from operating activities,Funds from operations,Net income (cash flow),Changes in working capital,Change in accounts receivable,Change in inventories,Cash from investing activities,"Purchase/sale of business, net",Sale of fixed assets & businesses,Purchase/acquisition of business,"Purchase/sale of investments, net",Capital expenditures - fixed assets,Capital expenditures - other assets,Cash from financing activities,Sale of common & preferred stock,Repurchase of common & preferred stock,"Issuance/retirement of debt, net",Issuance of long term debt,Reduction of long term debt,Issuance/retirement of short term debt,Issuance/retirement of other debt,Total cash dividends paid,Common dividends paid,Preferred dividends paid,Free cash flow,Total non-current assets,Dividends per share - common stock primary issue,Number of employees,Mkt сap
2012-01-03T07:00:00Z,1356,1999,1296,1965,856976562,NaN,2517400000000,-1456700000000,1060700000000,-708300000000,352400000000,-1528000000000,-1175600000000,2700000000,201600000000,530500000000,0,-440800000000,-19200000000,-460000000000,-355.2,1308000000,484800000000,352400000000,2165000000000,725600000000,290600000000,331300000000,81700000000,NaN,NaN,NaN,21100000000,0,113200000000,64600000000,48600000000,0,2774000000000,61100000000,1700000000,NaN,NaN,NaN,71200000000,2600000000,562900000000,-705700000000,273000000000,542600000000,509900000000,32700000000,NaN,0,692700000000,237500000000,187700000000,3831500000000,2701500000000,-102000000000,164600000000,4422200000000,2939000000000,2647500000000,76.105,-336.01852619,259600000000,256800000000,-696100000000,2800000000,-33000000000,-8500000000,-158800000000,32900000000,36100000000,-3200000000,-52200000000,-135400000000,-3000000000,-44800000000,23400000000,0,6200000000,56500000000,0,-50300000000,NaN,-74400000000,-69800000000,-4600000000,124200000000,3696600000000,56,28032,NaN
2013-01-01T07:00:00Z,1974,2620,1910,2602,722018599,NaN,2738200000000,-1556800000000,1181400000000,-912300000000,269100000000,291000000000,560100000000,8900000000,-64000000000,4100000000,-400000000,508700000000,0,508700000000,381.2,1322000000,378000000000,269100000000,2469100000000,661600000000,162000000000,367400000000,91200000000,0,0,0,41000000000,0,171800000000,95600000000,69000000000,7200000000,843400000000,41100000000,566100000000,NaN,NaN,NaN,80400000000,4600000000,36600000000,-532100000000,121800000000,385500000000,346600000000,38900000000,0,0,657000000000,124800000000,189400000000,682300000000,529000000000,1041500000000,780400000000,2380800000000,653800000000,491800000000,538.87,247.38362502,245500000000,272100000000,625400000000,-26600000000,-19200000000,-3000000000,-122300000000,-15700000000,1500000000,-17200000000,31600000000,-135000000000,-3700000000,-219000000000,13000000000,0,-136200000000,0,-29700000000,-106500000000,NaN,-83800000000,-79100000000,-4700000000,110500000000,1719200000000,67.5,28618,NaN
2014-01-02T07:00:00Z,2584,3864,2076,3795,817777370,NaN,3178300000000,-1822700000000,1355600000000,-1065200000000,290400000000,-8200000000,282200000000,7500000000,-80100000000,5700000000,-500000000,214800000000,0,214800000000,157.6,1334000000,405500000000,290400000000,2887900000000,741800000000,171200000000,418900000000,98700000000,0,0,0,53000000000,0,206000000000,133700000000,67800000000,4500000000,930500000000,72300000000,662300000000,NaN,NaN,NaN,90200000000,2500000000,48000000000,-655400000000,141900000000,431600000000,387900000000,43700000000,0,0,767700000000,167800000000,224500000000,686800000000,493900000000,1217200000000,929000000000,2671700000000,661700000000,490500000000,646.672,323.85938669,297500000000,307600000000,325300000000,-10100000000,-32700000000,-2300000000,-194100000000,10700000000,12600000000,-1900000000,-10300000000,-190200000000,-4300000000,-95600000000,14900000000,0,-7900000000,0,-61400000000,53500000000,NaN,-102200000000,-97600000000,-4600000000,107300000000,1929900000000,80,27609,NaN
2015-01-02T07:00:00Z,3789,4438,2976,3390,1076525628,NaN,3371100000000,-1894800000000,1476300000000,-1152600000000,323700000000,2400000000,326100000000,11400000000,-93600000000,2200000000,-600000000,245500000000,0,245500000000,178.9,1345000000,449000000000,323700000000,3047400000000,894800000000,255100000000,475600000000,110700000000,0,0,0,52600000000,800000000,260200000000,168000000000,86500000000,5700000000,1096500000000,80700000000,798200000000,NaN,NaN,NaN,106100000000,2500000000,57000000000,-778800000000,159700000000,487900000000,448200000000,39700000000,1600000000,0,875400000000,209900000000,263700000000,862900000000,610400000000,1428100000000,1095600000000,3166400000000,820300000000,565200000000,764.338,402.70036411,320500000000,321700000000,372800000000,-1200000000,-18800000000,-5400000000,-281100000000,-1300000000,7100000000,-8400000000,-14500000000,-264100000000,-1200000000,28800000000,33700000000,0,117500000000,82800000000,0,34700000000,NaN,-122400000000,-117500000000,-4900000000,56400000000,2271600000000,92,28763,4152337296483.2754
2016-01-04T07:00:00Z,3401,3737,2910,3184,1476402805,NaN,3772900000000,-2128700000000,1644200000000,-1276600000000,367600000000,-196800000000,170800000000,15700000000,-83100000000,67100000000,-700000000,169800000000,1400000000,171200000000,122.6,1354000000,506600000000,367600000000,3405300000000,804500000000,198000000000,453200000000,101900000000,0,0,NaN,51400000000,0,259800000000,201700000000,54700000000,3400000000,1161500000000,106300000000,816200000000,NaN,NaN,NaN,106700000000,3400000000,58600000000,-810600000000,131800000000,425600000000,394200000000,31400000000,2100000000,0,748900000000,122000000000,240100000000,1016100000000,613200000000,1300900000000,1082100000000,3065900000000,735200000000,537200000000,750.516,436.6519174,377500000000,403400000000,412800000000,-25900000000,-23500000000,1600000000,-269900000000,400000000,9000000000,-8600000000,11900000000,-278900000000,-3300000000,-140300000000,12400000000,0,-21600000000,35600000000,0,-57200000000,NaN,-130200000000,-125000000000,-5200000000,98600000000,2261400000000,95,30086,4176814221913.9736
2017-01-03T07:00:00Z,3220,3318,2144,2515,1373781543,NaN,1911400000000,-966100000000,945300000000,-656400000000,288900000000,50200000000,339100000000,8900000000,-94200000000,0,-700000000,253100000000,-303100000000,-50000000000,-40.91,1359000000,353300000000,288900000000,1622500000000,815900000000,253100000000,410000000000,98400000000,0,0,0,50000000000,4300000000,289300000000,228000000000,59600000000,1700000000,1310300000000,52100000000,895200000000,NaN,NaN,NaN,115600000000,4400000000,61900000000,-1048700000000,109200000000,203700000000,170500000000,33200000000,2300000000,0,766600000000,166400000000,178900000000,1158400000000,723200000000,886200000000,892600000000,2811200000000,889600000000,636400000000,655.921,506.1834357,278000000000,290600000000,353400000000,-12600000000,35900000000,4400000000,-219600000000,20100000000,34100000000,-14000000000,5000000000,-241900000000,-2800000000,-2800000000,5600000000,0,130500000000,101800000000,0,28700000000,NaN,-135200000000,-129600000000,-5600000000,36100000000,1995300000000,95,30056,2730985435880.1265
2018-01-02T07:00:00Z,2470,3161,2297,2643,1126368355,NaN,2071700000000,-1036400000000,1035300000000,-736200000000,299100000000,-137600000000,161500000000,7300000000,-68200000000,-500000000,-1300000000,98800000000,-26600000000,72200000000,48.97,1362000000,371400000000,299100000000,1772600000000,546400000000,137100000000,311900000000,58900000000,0,0,0,8800000000,29700000000,98100000000,58400000000,38100000000,1600000000,1028600000000,52800000000,475100000000,NaN,NaN,NaN,62900000000,3500000000,39900000000,-453000000000,44700000000,174900000000,161400000000,13500000000,2500000000,0,442200000000,106200000000,119100000000,592700000000,511400000000,1041500000000,1036500000000,2076400000000,617600000000,480500000000,760.05,631.76127922,275900000000,310200000000,194200000000,-34300000000,-73000000000,-1000000000,-328800000000,-186600000000,4400000000,-191000000000,9200000000,-151200000000,-200000000,-57900000000,6200000000,0,106500000000,229400000000,0,-122900000000,NaN,-144300000000,-138800000000,-5500000000,124700000000,1530000000000,104,22165,3825325558095.741
2019-01-02T07:00:00Z,2629,2762,1481,1946,1552593285,NaN,2158900000000,-1065300000000,1093600000000,-768900000000,324700000000,3500000000,328200000000,7500000000,-87900000000,-3100000000,-1600000000,243100000000,0,243100000000,176.73,1345000000,399500000000,324700000000,1834200000000,552400000000,173200000000,292800000000,56400000000,0,0,0,7400000000,22600000000,102900000000,59400000000,43000000000,500000000,1083600000000,34100000000,510800000000,NaN,NaN,NaN,66900000000,4200000000,36900000000,-482400000000,51200000000,178100000000,160600000000,17500000000,2800000000,0,529600000000,178500000000,132800000000,588400000000,506100000000,1023500000000,1018300000000,2141500000000,684600000000,511400000000,756.408,624.07352824,347300000000,304600000000,376800000000,42700000000,30100000000,2500000000,-130500000000,19000000000,19300000000,-300000000,-6600000000,-137800000000,-5100000000,-180600000000,2500000000,-45800000000,69800000000,224800000000,-100000000000,-55000000000,NaN,-205000000000,-199600000000,-5400000000,209500000000,1589100000000,111,20193,1967438598915.3667
2020-01-02T07:00:00Z,1946,2132,1130,1250,1614065324,NaN,1884300000000,-981000000000,903300000000,-821100000000,82200000000,-14800000000,67400000000,5600000000,-29100000000,700000000,-1400000000,43200000000,0,43200000000,28.29,1336000000,197400000000,82200000000,1802100000000,605000000000,145000000000,328900000000,120600000000,0,0,0,10500000000,0,82600000000,36700000000,38200000000,7700000000,1111200000000,46800000000,529200000000,NaN,NaN,NaN,65200000000,2500000000,36700000000,-525100000000,81200000000,180400000000,160600000000,19800000000,3200000000,0,501700000000,161100000000,105000000000,1112800000000,1030700000000,979900000000,976700000000,2594400000000,1191800000000,1046800000000,731.337,596.21524435,17800000000,157300000000,156700000000,-139500000000,-43400000000,-64200000000,-18900000000,3600000000,3800000000,-200000000,77400000000,-96100000000,-3800000000,-27000000000,200000000,-25100000000,104600000000,0,0,0,104600000000,-91400000000,-86000000000,-5400000000,-78300000000,1989400000000,0,20062,1078076522803.6177
2021-01-04T07:00:00Z,1202,1738,1202,1590,1053182617,973669214,2120000000000,-1074800000000,1045200000000,-855100000000,190100000000,-61100000000,129000000000,-11400000000,-41600000000,900000000,0,76900000000,0,76900000000,54.64,1336000000,305800000000,190100000000,1929900000000,559500000000,145600000000,339300000000,64000000000,0,0,0,10200000000,400000000,70600000000,44100000000,20200000000,6300000000,1144300000000,72500000000,534700000000,NaN,NaN,NaN,54400000000,3000000000,35300000000,-552700000000,98700000000,180600000000,160600000000,20000000000,1200000000,0,562200000000,235900000000,107600000000,941000000000,852400000000,1058900000000,1057700000000,2562100000000,1088300000000,942700000000,790.741,655.6856505,257100000000,233700000000,207600000000,23400000000,-30300000000,56600000000,-122600000000,4400000000,4500000000,-100000000,-12600000000,-113200000000,-1200000000,-133500000000,100000000,0,-110800000000,0,0,0,-110800000000,-3900000000,0,-3900000000,143900000000,2002600000000,34,18346,2698677234844.1245
2022-01-03T07:00:00Z,1600,1657,1276,1451,961767052,1021710684.65,2163600000000,-1108500000000,1055100000000,-859000000000,196100000000,-44800000000,151300000000,2100000000,-48400000000,-3700000000,-800000000,100500000000,0,100500000000,72.27,1338000000,315800000000,196100000000,1967500000000,543800000000,149900000000,325900000000,56200000000,0,0,0,11600000000,NaN,69300000000,37600000000,21800000000,9900000000,1220000000000,31700000000,566000000000,NaN,NaN,NaN,62900000000,3500000000,34200000000,-571400000000,104000000000,184300000000,160600000000,23700000000,1700000000,0,528100000000,169100000000,132400000000,1004500000000,917100000000,1094400000000,1089000000000,2627000000000,1086200000000,936100000000,813.53,675.81163655,280900000000,258200000000,228200000000,22700000000,-11400000000,7900000000,-138000000000,3700000000,3700000000,0,-2100000000,-138200000000,-1400000000,-139000000000,2900000000,-2900000000,-42200000000,0,0,0,-42200000000,-76600000000,-72800000000,-3800000000,142700000000,2083200000000,50,18000,1763743218514.3574
2023-01-03T07:00:00Z,1450,1633,1262,1317,719281630,1030237867.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1636545868145.6792
